Adult Mortality,infant deaths,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Life expectancy
484.0,4,0.0,93.0,0,32.6,6,9.0,93.0,9.3,173.82893,2174645.0,5.5,5.3,0.495,10.7,53.7
259.0,8,0.0,52.0,1060,27.3,11,52.0,52.0,0.9,452.38717,4499621.0,6.5,6.4,0.427,9.9,61.4
165.0,0,0.0,94.0,50,62.4,0,93.0,93.0,0.1,14252.42853,29491.0,2.6,2.6,0.846,16.5,73.6
63.0,0,0.0,94.0,0,61.3,0,99.0,99.0,0.1,1199.8223,56964.0,1.0,0.9,0.896,13.9,82.0
22.0,28,0.0,69.0,3,2.5,38,71.0,69.0,0.3,41.8575951,2423488.0,7.1,7.1,0.511,10.3,65.5
365.0,26,0.0,88.0,0,19.6,38,88.0,88.0,4.8,362.6575444,1757367.0,6.4,6.2,0.473,10.8,58.3
123.0,4,0.0,99.0,1318,4.6,4,99.0,99.0,0.1,9643.644683,3723155.0,7.5,7.3,0.787,13.1,75.0
61.0,0,0.0,99.0,0,27.4,0,99.0,99.0,0.1,8395.785198,49163.0,13.6,13.6,0.701,12.7,78.5
266.0,52,0.0,64.0,215,23.8,84,66.0,64.0,1.5,729.725338,1746795.0,7.7,7.5,0.438,8.4,58.2
54.0,0,0.0,95.0,2,69.6,0,97.0,97.0,0.1,23819.4636,431874.0,0.8,0.8,0.853,14.6,81.7
25.0,8,0.0,73.0,1,3.8,12,67.0,73.0,0.9,1158.256469,4182341.0,7.8,7.5,0.513,8.5,63.1
146.0,0,0.0,97.0,0,33.3,0,98.0,97.0,0.1,9252.11724,126265.0,6.9,6.8,0.779,15.2,74.6
122.0,30,0.0,82.0,0,63.5,35,87.0,87.0,0.1,9143.128494,12589949.0,1.5,1.5,0.758,13.3,76.7
222.0,1,0.0,99.0,20359,52.7,1,99.0,99.0,0.1,3944.1839,2976877.0,2.2,2.3,0.733,14.8,68.8
16.0,0,0.0,82.0,0,61.8,0,89.0,89.0,0.1,6461.192554,622159.0,1.8,1.8,0.804,15.1,76.1
95.0,17,0.0,99.0,17,58.5,20,99.0,99.0,0.1,2847.285569,3483322.0,6.4,6.2,0.645,12.1,74.3
355.0,60,0.0,8.0,79,22.6,81,8.0,8.0,3.9,528.3125597,281691.0,3.6,3.5,0.414,9.1,57.6
199.0,39,0.0,89.0,6,23.8,50,89.0,89.0,0.3,1194.59137,5243669.0,12.8,13.0,0.552,9.1,66.6
248.0,2,0.0,92.0,212,35.7,3,92.0,92.0,2.1,4737.66996,2425561.0,8.2,8.1,0.637,11.7,65.8
165.0,17,0.0,91.0,1599,19.1,21,9.0,91.0,0.1,743.7653489,28656282.0,15.7,16.1,0.555,12.2,69.2
57.0,1,0.0,94.0,7,62.1,1,95.0,95.0,0.1,44292.88473,16939923.0,1.0,0.9,0.923,18.1,81.9
145.0,2,0.0,98.0,0,54.0,2,99.0,98.0,0.1,295.966488,68235.0,1.8,1.7,0.642,11.7,74.8
22.0,49,0.0,65.0,7693,19.3,87,65.0,65.0,0.4,358.99731,19896965.0,9.6,9.4,0.351,5.4,61.8
344.0,483,0.0,49.0,12423,25.4,747,49.0,49.0,3.7,2655.157977,181181744.0,9.8,9.7,0.525,10.0,54.5
161.0,352,0.0,72.0,386,25.4,433,72.0,72.0,0.1,1431.244865,18938513.0,19.2,19.6,0.548,8.1,66.4
118.0,1,0.0,73.0,0,57.8,1,72.0,73.0,0.1,13134.4367,3969249.0,1.9,1.8,0.785,13.0,77.8
146.0,2,0.0,93.0,0,5.2,3,89.0,93.0,0.2,419.367724,6639119.0,2.0,1.9,0.692,12.3,74.0
123.0,8,0.0,9.0,4,55.6,10,88.0,9.0,0.1,63.343259,31376671.0,1.1,1.1,0.737,13.4,75.5
211.0,52,0.0,6.0,619,25.4,66,79.0,6.0,0.1,2878.33837,11716359.0,1.0,9.7,0.679,11.7,68.5
117.0,2,0.0,96.0,0,61.7,2,92.0,98.0,0.1,12565.9876,37986412.0,1.9,2.0,0.852,16.4,77.5
76.0,0,0.0,98.0,8,61.6,0,98.0,98.0,0.1,1922.681,135876.0,0.7,0.5,0.841,16.6,81.1
133.0,2,0.0,9.0,4,6.7,2,89.0,89.0,0.1,8958.788593,19815481.0,2.5,2.7,0.798,14.7,75.0
222.0,13,0.0,97.0,843,6.5,15,97.0,97.0,0.1,9329.298351,1449687.0,2.3,2.3,0.805,15.0,75.0
227.0,11,0.0,98.0,1,21.4,15,99.0,98.0,0.4,71.348397,11629553.0,5.7,5.7,0.493,10.8,66.1
125.0,0,0.0,59.0,0,74.7,0,61.0,66.0,0.1,4149.363444,193759.0,0.2,0.1,0.702,12.9,74.0
19.0,0,0.0,96.0,0,3.9,0,96.0,96.0,0.2,1624.63963,195553.0,5.5,5.3,0.565,11.2,67.5
188.0,19,0.0,89.0,58,24.3,26,85.0,89.0,0.3,98.7256145,14976994.0,9.5,9.3,0.491,9.5,66.7
121.0,1,0.0,94.0,383,6.0,1,95.0,95.0,0.1,5237.255334,795383.0,2.0,2.0,0.775,14.4,75.6
168.0,0,0.0,98.0,0,37.4,0,97.0,97.0,0.1,1539.464,93419.0,5.7,6.0,0.781,14.1,73.2
413.0,22,0.0,86.0,607,24.4,30,86.0,86.0,0.5,587.538233,723725.0,7.4,7.3,0.431,9.5,51.0
177.0,0,0.0,98.0,0,5.5,0,99.0,98.0,0.1,1922.41388,587482.0,1.1,1.2,0.514,9.6,69.2
328.0,42,0.0,75.0,17,51.1,52,75.0,75.0,3.6,5769.77258,5511976.68,4.4,5.3,0.665,13.0,62.9
56.0,1,0.0,97.0,115,66.6,1,97.0,97.0,0.1,25683.84565,46447697.0,0.6,0.5,0.882,17.7,82.8
138.0,3,0.0,99.0,1568,23.4,3,99.0,99.0,0.1,3844.89123,2966.0,15.1,15.0,0.764,14.0,74.9
176.0,0,0.0,89.0,0,58.3,0,89.0,89.0,0.4,8818.982566,55328.0,3.5,3.5,0.723,12.7,71.6
373.0,2,0.0,9.0,0,32.3,3,84.0,9.0,7.1,3136.92511,131911.0,4.0,4.1,0.541,11.4,58.9
53.0,0,0.0,67.0,22,59.5,0,98.0,98.0,0.1,5585.25847,9799186.0,1.5,1.4,0.909,15.9,82.4
161.0,10,0.0,96.0,3,4.7,11,96.0,96.0,0.2,918.6771543,8548651.0,3.6,3.7,0.625,11.3,69.7
148.0,8,0.0,99.0,154,33.6,9,99.0,99.0,0.1,5814.863134,686576.0,7.7,7.7,0.738,13.6,74.9
152.0,2,0.0,76.0,43,17.4,2,75.0,76.0,0.1,1161.76935,124977.0,1.9,11.1,0.603,12.5,68.3
287.0,13,0.0,88.0,20,24.3,20,88.0,88.0,1.0,551.138346,741682.0,6.5,6.2,0.484,12.0,59.9
133.0,0,0.0,78.0,0,75.2,0,8.0,78.0,0.1,493.775387,16364.0,0.1,0.1,0.718,14.3,73.5
17.0,0,0.0,9.0,0,47.1,0,88.0,96.0,0.3,17321.83373,13692.0,5.7,5.9,0.779,12.7,71.2
1.0,3,0.0,98.0,16,61.2,3,98.0,98.0,0.1,3828.91589,11273661.0,6.5,6.4,0.723,14.6,75.3
16.0,15,0.0,97.0,342,66.1,18,97.0,97.0,0.1,1979.52569,78271472.0,4.9,4.8,0.764,14.5,75.8
215.0,6,0.0,99.0,0,48.6,7,99.0,99.0,0.1,6432.668768,5565284.0,3.3,3.3,0.688,10.8,66.3
291.0,66,0.0,78.0,478,18.5,93,82.0,78.0,3.1,693.8963829,414487.0,5.6,5.6,0.488,10.0,62.3
195.0,4,0.0,22.0,105,61.3,5,51.0,23.0,0.2,2124.662666,4515429.0,2.3,2.4,0.748,15.3,71.3
116.0,0,0.0,95.0,0,64.0,0,95.0,95.0,0.1,15524.84247,3431552.0,1.5,1.4,0.794,15.5,77.0
184.0,15,0.0,99.0,22,44.7,17,99.0,99.0,0.1,2137.576852,312989.0,3.0,3.1,0.697,12.1,69.4
13.0,0,0.0,64.0,39,53.3,0,65.0,64.0,0.1,285.83414,26463.0,1.5,1.4,0.598,10.8,72.0
33.0,27,0.0,9.0,9,23.4,40,9.0,9.0,4.1,1313.889646,161587.0,6.3,6.1,0.576,12.5,61.8
336.0,22,0.0,87.0,0,31.8,32,88.0,87.0,6.2,118.69383,15777451.0,5.6,5.5,0.507,10.3,67.0
