id,barrio,cant_amb,cant_banos,sup_total,sup_cub,precio,tipo_prop
4r6rMtagstjoQKMrKM1SAw==,22,3.0,1.0,100.0,91.0,180000,2
G4V0UDDpsFnD2DJH5rigBQ==,22,5.0,1.0,187.0,187.0,269900,2
AECYl0Y5LQKq8ZNukc4sOQ==,35,3.0,2.0,110.0,77.0,190000,2
6Suswh0odgqlYe91I9d7Xg==,15,3.0,1.0,68.0,68.0,175000,2
0ayw1olLgKZkiUsruvWs8A==,36,3.0,1.0,84.0,56.0,130000,6
2ONl7kHfo3NLMIlGRMxVfQ==,12,3.0,2.0,83.0,58.0,209000,6
E28xyXtZGiDhmN9vBADtAw==,8,3.0,1.0,78.0,63.0,270000,6
zYNz+c0rIdHkSzAFarMGnA==,8,3.0,2.0,76.0,65.0,340000,6
+Vo+Xo+UFXwV7xKTom7snw==,8,3.0,1.0,70.0,66.0,194500,6
Ujy5XPD0X6QyZZzWYHAKYg==,8,3.0,2.0,75.0,62.0,255000,6
a0Zd4sZPPHisXCihvoX2jg==,9,3.0,1.0,50.0,46.0,139000,6
qQAGPy/bzJX2fkR6hw48SQ==,9,3.0,4.0,113.0,103.0,439000,6
SmTqC7XPHVcEbjjHa5gz1A==,9,3.0,3.0,157.0,101.0,729000,6
p/FhN+jLKtLKd5tH9rXsMQ==,9,3.0,2.0,68.0,68.0,255000,6
EDHsXgcSpO8zGYAVYF9Yxg==,2,3.0,1.0,92.0,80.0,350000,6
P9DPzwb1HdhVmTWYrYgpng==,22,3.0,1.0,100.0,91.0,180000,6
8AFft8g8czHQDo+fACC72g==,22,3.0,1.0,50.0,49.0,150000,6
iyxBQuGbouDG88fKUrIhMg==,22,3.0,1.0,53.0,53.0,128000,6
kilw8xF0bImT21KR5PzBeQ==,24,3.0,1.0,67.0,56.0,150000,6
pqE1IQmRV8By+htaLzU1og==,30,3.0,2.0,70.0,56.0,185000,6
emLu0SjadfNOrKknljuOZA==,37,3.0,4.0,113.0,103.0,439000,6
0E/k7zoMi5m+yPIZ2hJNew==,15,3.0,1.0,58.0,56.0,128000,6
pEKq0Ey8dHTLh7SbQrW+xA==,15,3.0,1.0,70.0,70.0,125000,6
eg2hzsZH+m7pePERoR1dGA==,26,2.0,1.0,45.0,38.0,101000,6
W4AEUZOijbFAE+cirhZtrg==,38,3.0,1.0,97.0,72.0,225000,6
5hddYN+OjnnNt8NW1ShpRg==,20,3.0,1.0,52.0,47.0,92000,6
EF0Ma+vfFIRaeOYaeHGGdA==,12,4.0,1.0,150.0,112.0,245000,2
yyJFUiADuaR6WebmiqeQ6A==,34,5.0,1.0,197.0,93.0,214900,2
lC5YlQ8awXMqCd5iEYCtrA==,16,4.0,1.0,80.0,74.0,200000,2
4I7PFymizibjGjlz8GESiA==,39,4.0,3.0,184.0,178.0,385000,3
Mm4VJXuf9oB3J9xLnWHe/w==,0,5.0,3.0,133.0,133.0,370000,6
gy4KGUjAF1ZHNsMHmvMYYQ==,1,4.0,3.0,108.0,96.0,270000,6
nTyHX8QuI2nNAmOzi5Qhuw==,1,4.0,2.0,91.0,87.0,220000,6
SI4OG8jqovUF1kPj7ie5gg==,1,4.0,1.0,77.0,72.0,189000,6
US4sCtMeU3+vP23A00oi7g==,8,5.0,2.0,190.0,129.0,350000,6
yDb7SiK2PKj+/kiIX7E62w==,8,4.0,2.0,77.0,70.0,239000,6
kAn/UU0+Ywjq80HElPPeZw==,8,4.0,1.0,85.0,85.0,260000,6
/LRIWqkjQPtoNb7waL3y3w==,8,4.0,2.0,100.0,100.0,252000,6
LvCxBOu6fuJOV/WHMawhhg==,9,4.0,1.0,91.0,81.0,290000,6
vSdsEn+eQNDIW3bIrS/a7g==,9,4.0,3.0,180.0,171.0,790000,6
4IlEc+TdD0LC75rWKv2uUA==,2,5.499991741130374,3.0,192.4999421879126,145.0,595000,6
akE524gsiVhP6Y2yte0kkA==,2,4.0,2.0,85.0,76.0,280000,6
ayfP2xXK16uJnjT6jj9G/A==,29,4.0,2.0,94.0,94.0,195000,6
mrdu4ppnqT6dtJMNruJaHA==,22,4.0,2.0,128.0,120.0,613567,6
Iyw1yRfnXKkCDn7QDjKZsA==,24,4.0,2.0,127.0,127.0,310000,6
BJXzcMZmbVNPbzLQ6psvMg==,24,7.0,2.0,277.0,234.0,595000,6
7wyCQWiivFQWo5YVQlLkDg==,3,4.0,1.0,78.0,75.0,215000,6
xfjUuizB1jScS5YyZ83xsA==,17,4.0,2.0,111.0,95.0,210000,6
3XDUvSHzhQwRuOLGpWI5AQ==,9,5.0,3.0,170.0,170.0,580000,6
kjWY/MixDYny1oilKgdN6Q==,15,5.0,2.0,202.0,123.0,224000,6
SRDURhShBHAlAlHzJHyUew==,1,5.989089649505819,5.0,640.0,420.0,680000,3
ueIus9t8qbzhoPlbJjR1xw==,40,7.0,4.0,503.0,192.0,350000,2
alUk5FvBpIkt/QYZnbN6Ig==,1,4.0,1.0,76.0,55.0,169000,2
CtBFoMvuJvZ6E6IBNkSYUw==,41,4.499546194316949,2.0,165.00453805683048,142.51134514207627,250000,2
vfyJEJhVaxvt9srobcD6Pg==,1,1.0,1.0,40.0,40.0,110000,3
6ZCiYfeTY5RY0ASjomnVAg==,14,3.0,1.0,76.0,70.0,199000,3
1uQqKny2FO9XCa8t6Ec/hQ==,32,3.0,2.0,125.0,80.0,249000,3
giQOFfq74IRDkfwysDAn8g==,33,1.0,1.0,59.0,50.0,147000,3
k5ffWn5kllvKAZvylSvbJA==,8,0.0,0.0,217.0,760.0,735000,4
0oJWSIPlmRZmD+skoK9vcQ==,28,0.0,0.0,287.0,118.8658594256576,700000,4
7wkU7FwutemwkryI00kXGQ==,29,0.0,0.0,460.5618796315749,360.4942516189248,650000,4
gbxqdhQsgcF3o5X/N0qiqQ==,29,0.0,0.0,174.0,360.7166343539851,650000,4
BHZCGDBQrmfE21nP/9uUUg==,13,0.0,0.0,683.1788406519383,683.1788406519383,600000,4
WEXcV9kuAws0qJQSlNrPvA==,42,0.0,0.0,210.0,1649.0,215000,4
E+gSrRU+2kWC1YA9JiJ+FQ==,15,0.0,0.0,289.0,1350.0,550000,4
ouQqoiDZ37+5D8XslO5yrg==,32,0.0,0.0,55.0,55.0,108400,8
VgoNRIAlbjLFu1H+cmiFUg==,36,0.0,0.0,42.0,42.0,58000,5
IIMbX2By22awj0G6B7Hnlw==,8,0.0,0.0,65.0,65.0,220000,5
iHuxpSD3WKvhGRWoSgBk+Q==,8,0.0,0.0,135.0,135.0,405000,5
aYDyn8QIOdMyEm/ogNO/PA==,9,0.0,0.0,39.0,36.0,168000,5
BjSKrm3AXi8PtlXs1E1GCw==,2,0.0,0.0,135.0,135.0,405000,5
Eg6rEybiaWjNqJGbyZId3g==,2,0.0,0.0,111.0,111.0,235000,5
GAQENekz+kU2e3mheh+IUQ==,2,0.0,0.0,135.0,135.0,405000,5
U0et6OxY2K0oEY7Cjl2I0w==,2,0.0,0.0,154.97679667404975,105.0,370000,5
O2/UZp0JQc+SJWI+/+jKJw==,2,0.0,0.0,65.0,65.0,220000,5
429nx8q8lIAjwDfHAC0hCQ==,18,0.0,0.0,390.0,390.0,790000,5
kObQH8mGdZHWi0fG7RKkSg==,24,0.0,0.0,55.0,55.0,135000,5
l4WYwv47QIupiRTBHiLrbw==,44,0.0,0.0,41.0,41.0,86000,5
NlX7vOVgIAXhqlZqDK6IlA==,3,0.0,0.0,65.0,65.0,220000,5
HWrC0nNvVBnBlwgCWp377w==,19,0.0,0.0,179.0,179.0,230000,5
5fOFoXxPoSjybMR0XEAj8w==,19,0.0,0.0,57.0,58.0,128000,5
+AWdDYzp5c3KPZgD/1e9ng==,14,0.0,0.0,200.0,196.0,350000,1
CRZcdUCixtjqS1HHLb31Wg==,15,0.0,0.0,357.0,357.0,587000,1
+CvATQez2gmNzPxDT+rptw==,7,1.0,1.0,42.0,40.0,99500,6
eznF5Ctlmgalpmf8CPKIIw==,45,1.0,1.0,43.0,39.0,94000,6
DQvbTCn2DupQW96g4ybyjw==,45,1.0,1.0,48.0,40.0,105000,6
L5ErxaPL6Sqyz5H3MrQNcg==,12,2.0,2.0,120.0,75.0,252000,6
xjcDvj4JmQ+5zDgbv7zPSg==,12,5.0,2.0,162.17177608951613,128.0,255000,6
iTMFljW9gmmpYgckbXwkPA==,0,2.0,1.0,34.5,34.5,95000,6
W9ipluIsUBNqvykNVTamVQ==,1,1.0,1.0,26.0,26.0,70000,6
PgmtYHvt9xpgexcFsF8mPQ==,1,2.500001156106166,1.0,81.0,39.0,165000,6
RB3XRh/8FeTvtEMbBPMcIA==,1,1.0,1.0,23.0,23.0,65000,6
OGWfBhWvli5KUeSsACxSdw==,1,3.0,1.0,71.99999442649293,60.0,150000,6
+mf6G/tZcOk0cKNSYaKsqg==,8,1.0,1.0,56.0,50.0,165000,6
Y067MI1J8llh+BrQzid4aQ==,8,5.0,3.0,220.0,220.0,795000,6
hBkD6WVDZmY7oNpE8Mp4Ag==,8,2.0,2.0,100.0,95.0,325000,6
/+e/F67MwRc9IDK+z7pAJg==,8,3.0,1.0,65.0,65.0,182000,6
jRqtss0SSzXUfATiTFytzw==,8,3.0,1.0,62.0,58.0,183000,6
rg9rcNjtQU+gL2rk0QKuZg==,8,2.0,1.0,128.50207217323913,85.0,380000,6
OFIU52oKHxR8Jj+V3YPGfw==,8,5.0,4.0,240.0,240.0,770000,6
oeIc/jh9e2HWQM0z9HzrIw==,8,1.0,1.0,28.0,28.0,68000,6
ysHFrOI4tO1iYKJ3T0PqVQ==,8,1.0,1.0,25.0,25.0,84000,6
6S5N3y0cOcJtE/+IaY7H8g==,8,2.0,1.0,59.0,46.0,160000,6
WIAeCvC1xsLcjzzuRqlCHQ==,8,1.0,1.0,35.0,35.0,175000,6
JibPx2uRp9gmZlVQcOhbeQ==,8,3.0,1.0,70.0,70.0,220000,6
IpDB9XfZMvAbazOPu5CDCA==,8,1.0,1.0,40.0,35.0,100700,6
06PA/FWj/E3NwY7hTt0keA==,9,1.0,1.0,32.0,31.0,102000,6
3VXt2F697vipsxB8cBHE2Q==,9,3.0,1.0,81.0,77.0,310000,6
oqBKPqkQ2jeUYEe1+XgJGA==,9,2.0,1.0,39.0,36.0,168000,6
k5vLoPe2rmEYz2sGYlPwdA==,9,2.0,2.0,63.0,59.0,190000,6
nfqsrPeaPDymf7Ux58j16g==,9,3.0,2.0,160.0,148.0,485000,6
p/MUg9DruIYbiEOJnmwOWg==,9,4.0,2.0,178.0,170.0,780000,6
WwafC2mVlD+P7HzQpJ/+yA==,2,1.0,1.0,27.0,27.0,75000,6
t+bCU9zEUbMT/ADZyKsamA==,2,3.0,1.0,68.0,68.0,185000,6
rQQ0dFlJ0J8vjndTX5OzeQ==,2,2.0,1.0,58.0,53.0,209000,6
WSoO5y/gb912ukPflsbW9w==,2,2.0,1.0,43.0,41.0,165000,6
wlvX4gqurlx6K8Xx9dx6gw==,2,4.0,1.0,94.0,80.0,250000,6
3IeUBRRP2yRjogp+sqj29w==,2,4.0,1.0,115.0,95.0,350000,6
iiW/wtYazdDUhvoPdsM7CA==,22,1.0,1.0,38.0,34.0,106000,6
2z4WpsAu2cxXbeajlHJ74Q==,22,3.0,1.0,66.0,57.0,142000,6
z1GCWKVtWaI9bik28JCHsQ==,22,3.0,1.0,67.0,60.0,235000,6
7QFx9PEgdWfVkuB8+lH+jw==,22,4.0,2.0,128.0,91.0,510000,6
rf54nedrKz+ok4eL0b5yRA==,22,1.0,1.0,37.0,34.0,102000,6
5BGsPBDVDEDTibj4GddKaQ==,22,1.0,1.0,38.0,34.0,101000,6
H8dRs+0/7qZcSeVas0OYfw==,22,2.0,1.0,50.0,47.0,135000,6
zH1YHi8a0N/1sPZzBiSVkA==,22,1.0,1.0,38.0,34.0,105000,6
LX3bRremgKlje75UBCWlfA==,22,1.0,1.0,56.0,52.0,139000,6
pzcY7SSv4gOTx1/6YO3E3g==,22,1.0,1.0,37.0,34.0,103000,6
q2LtaN+h3HB5C+Ml5eEJZg==,22,3.0,3.0,103.0,103.0,270000,6
FDpOdyVlxFKO4Hz8sGyPQQ==,22,1.0,1.0,37.0,34.0,101000,6
TCF6WvBQHuhWiVG95fCRRQ==,22,1.0,1.0,37.0,34.0,98500,6
VMmu9ekhBqDcpsW1wPXxyw==,22,1.0,1.0,38.0,34.0,104000,6
JuC9T4W9anjVtGfiSttcRw==,14,3.0,2.0,79.0,67.0,187300,6
5K769igFTjuVm28JAhz27w==,14,2.0,2.0,47.0,40.0,123900,6
hjhKjdFOvB+yHdByqdFvVg==,14,2.4999233253903954,2.0,60.0,40.0,128400,6
wP/F/X1UpS/1EB+aU6+nNA==,14,3.49910203088373,2.0,32.0,28.0,85600,6
56ScJjDgnlSDGJXwzRTigw==,14,2.0,2.0,32.0,28.0,80400,6
/hgXLJV5Xc1T/3imdA7p2g==,14,3.0,2.0,79.0,67.0,193000,6
i2eu5AkR22GFNyzk0wFqJg==,14,3.0,2.0,79.0,67.0,195200,6
MRihgYDEEvL/hlOxA4lR5Q==,14,2.499722319058004,2.0,47.0,40.0,126400,6
4ZFl4AoePLphBHorGaBT1g==,14,2.0,2.0,32.0,28.0,92400,6
5k1GR64a5/T2o9AASUiaTQ==,14,3.0,2.0,79.0,67.0,191200,6
Znh07DnTsTETkkYpZW8bEQ==,14,3.5034836105231904,2.0,47.0,40.0,136500,6
2whKCwXDu4xy+7SNO+p6Cg==,24,1.0,1.0,36.0,32.0,75000,6
lE1mfgO3M+DBA3rGrVpF6w==,30,3.0,2.0,76.0,66.0,305000,6
TvuNpFgOROhDQdx/KFf6CQ==,3,1.0,1.0,34.0,29.0,120000,6
h8PHXhnYfSCKinQYsHddag==,3,1.0,1.0,25.0,25.0,84000,6
lN/HDMJ6nMfk1UoiR2UPMg==,3,3.500001721436962,2.0,82.0,79.50000172143697,215000,6
HKeeRFHtK+uJfJXdzXpVCg==,15,4.0,2.0,75.0,72.0,215000,6
97v06rKB3ufOuwZs4YrzGQ==,25,3.0,2.0,110.0,105.0,720000,6
CJiXhQP9o+hWUpOglOGO2w==,27,2.0,1.0,87.0,85.0,155000,6
PTwmyAtJR3Uzab/Vn32jzQ==,27,2.500012149791566,1.5000121497915662,70.0,66.0,140000,6
sesNXkMpBbTYqw/LIySNfg==,27,4.0,1.0,72.0,62.0,150000,6
kdzbXfFmKpe1lCDVBfTSbA==,27,1.0,1.0,53.0,47.0,150000,6
/Opcu9YM4V1gQ6cTp2mvfw==,4,1.0,1.0,33.0,30.0,120000,6
vvl08K/pTx+mDsKdXrpb5Q==,4,1.5000011001675788,1.0,32.0,29.0,107000,6
BBnt8pHvOCa++YksRgY/jQ==,4,3.0,2.0,120.0,90.0,280000,6
KZwKkMwzhgIc+pT42TSuwA==,4,2.0,1.0,33.0,31.0,102000,6
OFoG0jXDRePVfgP/4YJ63A==,1,0.0,0.0,180.0,180.0,440000,7
gDow09XVlJPzbhhpiW7kWA==,8,0.0,0.0,480.0,480.0,670000,7
j4UJE/y5XxM2FWNl2txQNA==,8,0.0,0.0,48.0,48.0,420000,7
cOSS+1TfRWLLnwZaT8TaUA==,3,0.0,0.0,198.0,198.0,490000,7
dNlGnLKdOWIFTq8j79svSA==,3,0.0,0.0,198.0,198.0,490000,7
d87u5ZbxiUEPGhoE3KoxVw==,15,0.0,0.0,95.0,76.0,195000,7
NsmZnUgrX93mCOX4E5mWSQ==,26,0.0,0.0,103.0,95.0,295000,7
H5VHGGwBAv0Cfpp+c2w1mg==,45,1.0,1.0,34.0,4.0,80000,6
jgoq+EqxdYmNkfO9rn7Odg==,12,1.0,1.0,35.0,31.0,74000,6
9SIXaHZ40oJsD3yqPSmhIg==,1,1.0,1.0,34.0,4.0,80000,6
2xRH47hKKSjHMMvnMqgHmg==,15,2.0,1.0,49.0,49.0,104000,2
khMIhJEBBt19oVtc3sFW+A==,18,0.0,0.0,47.0,47.0,109000,5
hcg1RmThEKoC+jg2myIP0A==,46,1.0,1.0,31.0,31.0,54900,6
wVk3BJw8BYeGEGCBkraWUg==,36,2.0,1.0,42.0,37.0,69000,6
17rhd4a0bOS3lDVR3yBOSA==,12,2.0,1.0,48.0,45.0,109000,6
nXCRqXuTxQJ8ApMO5dFRuw==,21,2.0,1.0,35.0,35.0,105000,6
dP8gjSyrEo5k00yOBmM1eg==,21,1.0,1.0,32.0,29.0,135000,6
dSkOecb92ISpub7sek1yiA==,21,2.0,1.0,34.0,34.0,110000,6
29MIx5WkY8KoMM7T8oUZkg==,1,2.0,1.0,50.0,45.0,145000,6
HS78dfgGk8L6HyMuXeM+MA==,1,3.0,2.0,62.0,58.0,230000,6
S/khi0SYv9eK6/Rn6KX2kQ==,1,2.0,1.0,69.0,65.0,155000,6
4pqVyoNOoAz3DOOfkOAADw==,1,2.0,1.0,56.0,50.0,143000,6
VNITSUSXgO284N9WCTBbCw==,47,2.0,1.0,49.0,43.0,116000,6
ihsGBIy01o+xcCEIPE7ojQ==,8,2.0,1.0,112.0,56.0,204000,6
wap+6uezHZ+84iZliHsV/w==,8,1.0,1.0,35.0,31.0,185000,6
6N84mNAdCg2NGoD8vSEluQ==,8,1.0,1.0,37.0,33.0,165000,6
hDxdvGzzgr84spkOPFNdcQ==,8,2.0,2.0,48.0,40.0,193000,6
VCOTsuUxRVvhFzwd9orQWA==,8,1.0,1.0,34.0,33.0,155000,6
Os8pCR4sWyXfcQbh9nLBaw==,8,2.0,2.0,48.0,40.0,193000,6
doopoyoRvUDtjxB1GVCHRQ==,8,2.0,1.0,67.0,40.0,145000,6
18OxBNUjCTfJRVnWlW+qAw==,8,2.0,1.0,65.0,37.0,165000,6
5elFCsEt9aRaWNqEO8NwTQ==,8,2.0,1.0,39.0,39.0,115000,6
njDvhaeyqiLNqofC0Ss89w==,8,1.0,1.0,42.0,39.0,175000,6
ZjV8GRDKk8l9Xpn1scH2jQ==,6,2.0,1.0,40.0,40.0,100000,6
Ich08orYmQaCKbFjjo5c8w==,9,2.0,2.0,66.0,50.0,239800,6
dZkxDGs1T0fUubSBe5O4EA==,9,1.0,1.0,40.0,38.0,150000,6
RsvMRJ1NbU0N6ENuN4w6Gw==,9,2.0,1.0,26.0,26.0,93000,6
wW3AsOwatwlaLhum6KoDhQ==,2,2.0,1.0,35.0,35.0,150000,6
3+BoAav2tK8q2Iuqs9HSbQ==,2,2.0,2.0,52.0,46.0,205000,6
Mu1IUx8AVVEaT5K2OQU2AQ==,2,2.0,1.0,38.0,38.0,138000,6
aRQJVUzZmTnR8iywyZNL/g==,2,1.0,1.0,32.0,32.0,145000,6
2HqulbyIiL3djE5B3y+AJg==,2,2.0,1.0,34.0,34.0,112000,6
0XDy2YAKp6hyfubBqOwKOg==,2,1.0,1.0,42.0,40.0,155000,6
526m0EijVR8DSscOOdmymw==,2,2.0,2.0,95.0,65.0,360000,6
P35v9YEToh9sNNG3dAVMKg==,13,2.0,1.0,63.0,48.0,135000,6
yW6aFPsuhqanjoEyUPVnfA==,13,1.0,1.0,25.0,25.0,65000,6
k9Rtis0LMsDr4hfwiMWeGw==,22,2.0,1.0,48.0,48.0,124000,6
ORZDjLpQQFieBbqqrwfPKw==,24,2.0,1.0,48.0,48.0,99000,6
n0bQOKjucsh8dbGjKWdFMw==,30,2.0,1.0,26.0,26.0,93000,6
mS6Y+Ogu2b3vuebgbflFrA==,30,2.0,1.0,41.0,38.0,140000,6
orRInOOuYTwAor+LL/zs7Q==,3,2.0,1.0,50.0,44.0,183000,6
