age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
45,2,0,2,0,1,0,1,1,4,48,5,999,0,0,10,24,18,310,11,no
42,5,0,0,0,0,0,0,6,2,130,3,999,0,0,10,18,20,306,11,no
37,5,2,3,0,1,0,0,2,4,180,2,999,0,0,10,14,9,307,11,no
37,5,2,3,0,0,1,1,0,1,173,1,999,0,0,9,19,10,286,9,no
38,2,0,5,0,1,0,0,6,0,182,3,999,0,0,10,18,20,303,11,no
56,1,0,3,0,1,0,0,6,3,57,1,999,0,0,10,18,20,311,11,no
45,2,0,3,0,1,0,0,2,1,632,3,999,0,0,10,14,9,309,11,no
34,4,2,2,0,1,1,1,0,3,30,6,999,0,0,5,9,22,203,7,no
46,4,2,1,0,1,0,0,3,3,191,3,6,1,2,5,15,7,10,3,no
47,3,0,3,0,0,0,0,6,0,39,9,999,0,0,10,18,20,303,11,no
48,0,0,0,0,1,0,1,1,2,63,5,999,0,0,10,24,18,302,11,no
41,5,1,5,0,1,0,1,7,0,73,1,999,0,0,1,16,16,313,10,no
76,8,2,1,0,1,0,0,5,0,347,4,6,1,2,8,5,3,48,4,yes
33,4,1,2,0,0,1,0,3,4,420,1,999,0,0,5,11,23,229,7,no
33,0,1,4,0,0,0,1,0,1,226,1,999,0,0,9,19,10,285,9,no
33,2,0,3,0,1,0,0,2,1,130,1,999,0,0,10,14,9,306,11,no
34,4,0,2,0,1,0,0,0,2,71,3,999,0,0,5,9,22,205,7,no
49,2,1,2,0,0,0,1,0,2,202,3,999,0,0,9,19,10,287,9,no
60,1,0,3,0,1,0,0,2,4,154,5,999,0,0,10,14,9,307,11,no
52,0,0,0,0,1,0,0,0,0,182,2,999,0,0,5,9,22,209,7,no
46,2,1,3,0,1,0,1,0,1,423,1,999,0,0,9,19,10,285,9,no
42,4,2,2,0,1,0,0,0,3,122,2,999,0,0,5,9,22,211,7,no
46,5,1,0,0,0,0,1,0,3,128,2,999,0,0,9,19,10,284,9,no
37,2,0,3,0,0,0,0,6,2,55,22,999,0,0,10,18,20,306,11,no
51,0,0,0,0,0,0,1,1,0,254,1,999,0,0,10,24,18,303,11,no
48,9,0,1,0,0,0,0,2,0,251,3,999,0,0,10,14,9,312,11,no
45,0,0,1,0,0,0,1,0,3,251,1,999,0,0,9,19,10,289,9,no
25,2,2,0,0,0,1,0,6,3,8,21,999,0,0,10,18,20,311,11,no
37,7,2,0,0,0,0,0,6,1,349,3,999,0,0,10,18,20,305,11,no
39,0,2,3,0,1,0,0,0,2,9,5,999,0,0,5,9,22,206,7,no
30,0,0,2,0,1,0,0,6,2,145,1,999,0,0,10,18,20,305,11,no
41,2,0,2,0,1,0,0,3,0,160,1,999,0,0,5,11,23,218,7,no
40,2,0,3,0,1,0,1,5,0,16,1,999,0,0,1,12,19,270,10,no
38,8,2,4,0,1,0,0,6,1,129,2,999,0,0,10,18,20,304,11,no
41,5,1,3,0,0,0,0,2,4,167,1,999,0,0,10,14,9,309,11,no
31,2,2,2,0,0,0,0,0,3,212,1,999,0,0,5,9,22,203,7,no
40,0,0,5,0,1,0,0,6,0,81,5,999,0,0,10,18,20,305,11,no
41,3,0,0,0,0,0,1,1,2,376,7,999,0,0,10,24,18,305,11,no
46,0,0,0,0,1,0,1,0,0,886,3,999,0,0,9,19,10,287,9,no
27,2,2,3,0,1,1,1,6,1,287,2,999,0,0,10,18,20,304,11,no
49,6,0,2,0,1,0,0,9,2,292,1,999,0,0,8,2,2,84,4,yes
36,5,2,5,0,0,1,0,6,3,164,3,999,0,0,10,18,20,311,11,no
34,5,0,5,0,0,0,0,0,3,30,1,999,1,1,5,9,22,203,7,no
27,0,2,0,0,0,1,0,6,0,204,3,999,0,0,10,18,20,303,11,no
44,7,2,3,0,1,0,1,1,3,75,1,999,0,0,10,24,18,292,11,no
56,6,0,5,0,1,0,0,9,4,1551,1,999,2,1,8,2,2,81,4,no
29,2,0,3,0,0,1,0,0,4,567,3,13,2,1,5,17,14,27,3,yes
32,4,0,1,0,1,0,0,6,0,322,3,999,0,0,10,18,20,303,11,no
33,4,0,3,0,0,0,0,2,3,198,3,999,0,0,10,14,9,305,11,no
52,0,0,1,0,0,1,0,2,2,1250,4,999,0,0,10,14,9,310,11,yes
54,5,1,0,0,1,0,1,0,4,287,4,999,0,0,9,19,10,288,9,no
44,5,2,3,0,0,0,0,2,2,763,3,999,0,0,10,14,9,307,11,yes
22,10,2,2,0,1,0,0,0,4,312,1,999,0,0,5,9,22,210,7,no
31,7,0,4,0,0,0,1,0,4,108,3,999,0,0,9,19,10,286,9,no
26,0,0,0,0,0,0,1,1,0,102,35,999,0,0,10,24,18,303,11,no
34,6,2,2,0,1,0,1,0,2,127,8,999,0,0,5,9,22,206,7,no
42,2,0,3,0,0,0,0,2,1,130,2,999,0,0,10,14,9,311,11,no
42,7,0,4,0,0,0,1,0,0,293,1,999,0,0,9,19,10,286,9,no
30,5,2,3,0,1,0,0,5,3,78,2,999,0,0,1,12,19,267,10,no
28,4,2,0,0,1,1,0,0,4,126,2,999,1,1,5,9,22,197,7,no
36,7,2,1,0,1,0,0,1,1,185,1,999,0,0,6,10,17,191,6,yes
51,2,0,3,0,1,0,1,0,1,87,4,999,0,0,9,19,10,286,9,no
35,2,0,2,0,1,0,1,0,4,91,2,999,0,0,9,19,10,284,9,no
50,5,0,2,0,0,0,0,6,3,196,2,999,0,0,10,18,20,311,11,no
45,4,1,2,0,0,0,0,5,0,86,1,999,0,0,1,12,19,270,10,no
26,5,2,3,0,0,0,0,7,3,152,1,999,0,0,8,3,1,78,4,no
45,6,0,0,0,0,0,0,1,0,201,1,999,0,0,6,10,17,203,6,no
30,2,2,3,0,0,0,0,2,4,141,1,999,0,0,10,14,9,306,11,no
46,2,0,2,0,0,0,0,5,0,622,1,999,0,0,1,12,19,270,10,no
42,5,0,4,0,1,0,0,5,1,166,2,999,1,1,1,12,19,269,10,no
31,4,2,3,0,0,0,0,6,0,68,9,999,0,0,10,18,20,303,11,no
32,5,2,5,0,1,1,0,2,4,82,5,999,0,0,10,14,9,307,11,no
36,7,0,2,0,0,0,0,0,1,283,1,999,1,1,5,9,22,213,7,no
45,0,0,4,0,1,0,1,0,2,463,1,999,0,0,9,19,10,286,9,no
32,4,2,5,0,0,0,1,0,3,561,1,999,0,0,9,19,10,289,9,no
44,0,0,1,0,1,0,0,6,1,345,5,999,0,0,10,18,20,304,11,no
52,0,0,1,0,1,0,0,0,0,528,3,999,0,0,5,9,22,214,7,no
55,3,0,3,0,1,0,0,6,3,255,2,999,0,0,10,18,20,311,11,no
33,4,2,2,0,0,0,0,6,1,286,1,999,0,0,10,18,20,305,11,no
56,2,0,4,0,0,0,0,2,0,240,1,999,0,0,10,14,9,312,11,no
40,3,0,0,0,0,1,0,3,0,64,4,999,0,0,5,11,23,220,7,no
61,2,0,3,0,1,0,0,8,0,263,1,999,1,1,7,6,5,48,5,no
47,2,0,2,0,0,1,0,2,3,3322,1,999,0,0,10,14,9,307,11,no
36,2,0,5,0,1,0,0,2,4,172,1,999,0,0,10,14,9,309,11,no
48,5,0,2,0,1,0,0,2,2,58,3,999,0,0,10,14,9,308,11,no
40,4,2,2,0,0,0,1,1,0,89,1,999,0,0,10,24,18,291,11,no
37,0,2,2,0,0,0,1,6,0,416,8,999,0,0,10,18,20,303,11,no
33,2,0,3,0,0,0,0,5,1,52,1,999,0,0,1,12,19,269,10,no
38,5,0,3,0,1,0,1,0,4,224,4,999,0,0,9,19,10,286,9,no
34,2,2,3,0,1,0,0,6,1,61,4,999,0,0,10,18,20,304,11,no
27,0,2,1,0,1,0,0,6,3,451,1,999,0,0,10,18,20,311,11,no
47,3,1,3,0,1,0,0,4,1,261,1,999,0,0,5,13,8,12,3,yes
57,2,2,3,0,1,0,1,6,4,80,1,999,0,0,10,18,20,302,11,no
46,0,0,2,0,1,0,0,2,2,64,2,999,0,0,10,14,9,310,11,no
48,4,0,5,0,1,0,0,5,4,10,6,999,0,0,1,12,19,266,10,no
33,3,0,0,0,1,0,0,6,3,466,1,999,0,0,10,18,20,306,11,no
34,0,0,5,0,0,0,1,1,3,280,3,999,0,0,10,24,18,304,11,no
45,3,0,0,0,0,0,0,6,2,71,1,999,0,0,10,18,20,305,11,no
48,5,0,5,0,0,0,1,0,3,306,1,999,0,0,9,19,10,284,9,no
32,0,0,2,0,0,0,0,5,2,104,1,999,0,0,1,12,19,268,10,no
50,0,0,1,0,0,1,1,1,4,144,15,999,0,0,10,24,18,310,11,no
27,2,2,2,0,1,0,1,3,3,198,3,999,0,0,5,11,23,222,7,no
36,5,2,5,0,1,0,1,0,0,124,1,999,0,0,9,19,10,286,9,no
38,5,2,2,0,0,0,0,4,4,292,2,999,0,0,5,13,8,17,3,yes
39,2,0,3,0,0,1,0,6,2,53,6,999,0,0,10,18,20,306,11,no
47,1,0,3,0,1,0,1,5,1,195,3,999,0,0,1,12,19,269,10,no
33,0,0,0,0,0,0,0,0,2,136,2,999,0,0,5,9,22,206,7,no
54,0,0,1,0,1,0,0,2,1,146,1,999,0,0,10,14,9,306,11,no
51,2,0,3,0,0,0,0,2,1,112,7,999,0,0,10,14,9,308,11,no
33,0,0,1,0,0,1,0,5,3,129,1,999,0,0,1,12,19,267,10,no
31,2,2,2,0,0,0,1,0,4,26,25,999,0,0,9,19,10,290,9,no
44,2,0,3,0,0,0,0,6,1,228,2,999,0,0,10,18,20,305,11,no
44,6,0,0,0,1,1,0,6,2,113,1,999,0,0,10,18,20,305,11,no
37,0,2,5,0,1,0,0,2,1,109,11,999,0,0,10,14,9,308,11,no
28,2,2,3,0,0,0,0,7,3,522,2,999,0,0,8,3,1,68,4,no
50,5,0,4,0,0,0,1,0,1,119,2,999,0,0,9,19,10,285,9,no
54,9,0,1,0,0,0,0,2,0,53,3,999,0,0,10,14,9,308,11,no
55,0,0,1,0,0,0,1,6,1,86,1,999,0,0,10,18,20,298,11,no
56,7,0,0,0,0,0,0,3,2,185,2,999,0,0,5,11,23,223,7,no
35,5,1,1,0,0,0,0,5,1,514,1,9,4,2,3,26,26,176,1,yes
43,5,0,5,0,1,0,1,0,4,265,2,999,0,0,9,19,10,290,9,no
44,1,0,3,0,1,0,0,0,4,1380,1,999,0,0,5,9,22,197,7,no
47,7,1,3,0,1,0,0,5,1,62,2,999,1,1,1,12,19,269,10,no
41,2,0,5,0,0,0,1,1,3,122,2,999,0,0,10,24,18,301,11,no
29,5,2,5,0,1,0,0,5,4,1480,3,999,0,0,1,12,19,266,10,yes
30,2,0,2,0,0,0,1,0,0,434,4,999,0,0,9,19,10,286,9,no
58,3,0,3,0,1,0,0,5,0,224,2,999,1,1,1,12,19,270,10,no
34,0,0,0,0,0,1,1,0,1,899,3,999,0,0,5,9,22,208,7,no
32,4,0,2,0,0,0,1,0,1,14,6,999,0,0,5,9,22,208,7,no
37,4,1,1,0,1,0,0,0,4,17,8,999,0,0,5,9,22,197,7,no
49,5,1,2,0,1,0,0,2,1,109,2,999,0,0,6,1,4,108,6,no
43,9,0,1,0,1,0,0,6,0,90,6,999,0,0,10,18,20,305,11,no
34,1,0,3,0,0,1,0,0,1,106,1,999,0,0,5,9,22,213,7,no
20,10,2,1,0,0,0,0,3,1,81,3,999,0,0,5,15,7,12,3,no
38,2,0,3,0,0,0,0,5,2,223,2,999,0,0,1,12,19,268,10,no
54,1,0,3,0,1,0,1,0,2,110,1,999,0,0,9,19,10,288,9,no
27,4,2,2,0,1,0,0,6,3,377,3,999,0,0,10,18,20,306,11,no
